date,product,category,quantity,sales,region
2024-01-01,Laptop,Electronics,3,2392,West
2024-01-02,TV,Fashion,3,7609,East
2024-01-03,Laptop,Electronics,13,9396,South
2024-01-04,Phone,Home,14,3313,North
2024-01-05,Phone,Fashion,10,9550,South
2024-01-06,Phone,Fashion,18,9288,North
2024-01-07,Tablet,Electronics,17,8120,South
2024-01-08,TV,Books,13,2531,North
2024-01-09,TV,Fashion,15,685,South
2024-01-10,Headphones,Home,9,867,North
2024-01-11,Phone,Fashion,5,2414,West
2024-01-12,Tablet,Electronics,17,3488,West
2024-01-13,TV,Electronics,18,3500,West
2024-01-14,Phone,Electronics,10,2375,South
2024-01-15,Tablet,Electronics,7,9012,North
2024-01-16,TV,Electronics,6,878,East
2024-01-17,Tablet,Fashion,12,8016,North
2024-01-18,TV,Books,6,4726,North
2024-01-19,TV,Electronics,7,6593,East
2024-01-20,Tablet,Electronics,13,1021,West
2024-01-21,TV,Electronics,19,829,North
2024-01-22,Laptop,Books,3,793,South
2024-01-23,Laptop,Fashion,9,4488,North
2024-01-24,Tablet,Home,12,4166,East
2024-01-25,Phone,Home,10,4319,West
2024-01-26,Tablet,Electronics,19,6057,East
2024-01-27,Headphones,Fashion,11,4962,East
2024-01-28,Phone,Home,12,7669,South
2024-01-29,TV,Books,3,1995,South
2024-01-30,Phone,Fashion,14,1669,West
2024-01-31,Laptop,Electronics,2,5298,West
2024-02-01,TV,Electronics,19,6965,East
2024-02-02,Phone,Books,10,4157,North
2024-02-03,Tablet,Fashion,6,4173,East
2024-02-04,Headphones,Fashion,16,9791,South
2024-02-05,Laptop,Books,18,1214,East
2024-02-06,Tablet,Electronics,19,4518,North
2024-02-07,TV,Electronics,6,403,South
2024-02-08,TV,Electronics,2,1881,North
2024-02-09,Phone,Fashion,18,2163,West
2024-02-10,Laptop,Electronics,11,8610,North
2024-02-11,TV,Home,12,6689,North
2024-02-12,Phone,Electronics,14,960,East
2024-02-13,Laptop,Books,19,1712,North
2024-02-14,Headphones,Electronics,5,1708,East
2024-02-15,TV,Home,12,977,South
2024-02-16,Headphones,Books,19,5469,West
2024-02-17,Headphones,Books,8,4106,West
2024-02-18,Phone,Fashion,7,6114,South
2024-02-19,Headphones,Fashion,3,4564,North
2024-02-20,Phone,Electronics,13,6052,North
2024-02-21,TV,Home,3,1654,West
2024-02-22,Phone,Books,18,4732,North
2024-02-23,TV,Home,13,8199,West
2024-02-24,Headphones,Books,2,6289,South
2024-02-25,Laptop,Books,8,6040,West
2024-02-26,Headphones,Home,14,6091,East
2024-02-27,TV,Home,10,389,West
2024-02-28,Headphones,Electronics,14,4781,East
2024-02-29,Phone,Books,10,1434,West
2024-03-01,TV,Books,5,4443,East
2024-03-02,Laptop,Electronics,9,5591,South
2024-03-03,Laptop,Books,2,6658,South
2024-03-04,Tablet,Fashion,17,3500,South
2024-03-05,Laptop,Fashion,16,9535,South
2024-03-06,Laptop,Electronics,12,4926,North
2024-03-07,Tablet,Home,5,264,South
2024-03-08,Headphones,Home,8,3363,South
2024-03-09,TV,Electronics,18,2379,West
2024-03-10,Phone,Fashion,7,4495,West
2024-03-11,TV,Electronics,9,8584,West
2024-03-12,Tablet,Fashion,16,338,East
2024-03-13,Phone,Home,2,6433,East
2024-03-14,Tablet,Electronics,13,4825,East
2024-03-15,Laptop,Electronics,11,889,South
2024-03-16,Tablet,Fashion,1,2433,East
2024-03-17,TV,Books,4,4561,South
2024-03-18,Headphones,Books,5,8866,West
2024-03-19,Headphones,Fashion,16,3363,North
2024-03-20,Tablet,Books,9,1881,South
2024-03-21,Laptop,Books,2,8357,East
2024-03-22,TV,Electronics,2,5322,South
2024-03-23,Laptop,Fashion,18,4523,North
2024-03-24,Laptop,Home,18,6235,East
2024-03-25,Phone,Books,12,4838,South
2024-03-26,Headphones,Electronics,19,1295,North
2024-03-27,Tablet,Home,4,7897,East
2024-03-28,Laptop,Home,3,5139,North
2024-03-29,Tablet,Books,14,5254,East
2024-03-30,Headphones,Home,19,6107,East
2024-03-31,Tablet,Fashion,7,2567,North
2024-04-01,Headphones,Books,18,1414,South
2024-04-02,Phone,Electronics,12,6921,North
2024-04-03,Laptop,Electronics,15,6120,North
2024-04-04,TV,Home,12,7672,North
2024-04-05,Tablet,Home,15,5451,East
2024-04-06,Phone,Fashion,19,9820,West
2024-04-07,Tablet,Electronics,2,2259,East
2024-04-08,Tablet,Home,10,5666,West
2024-04-09,Tablet,Books,7,3827,North
2024-04-10,Laptop,Fashion,11,7031,East
2024-04-11,TV,Fashion,14,6275,North
2024-04-12,TV,Home,19,3227,East
2024-04-13,Headphones,Home,9,3640,West
2024-04-14,Headphones,Electronics,15,5551,East
2024-04-15,Headphones,Electronics,16,9519,East
2024-04-16,Tablet,Fashion,1,2271,East
2024-04-17,TV,Fashion,10,5224,North
2024-04-18,Tablet,Electronics,3,6483,East
2024-04-19,Headphones,Books,15,3783,West
2024-04-20,Phone,Fashion,16,376,South
2024-04-21,Headphones,Fashion,19,7108,East
2024-04-22,Laptop,Home,18,6589,East
2024-04-23,Phone,Electronics,13,4252,East
2024-04-24,Headphones,Home,10,1721,North
2024-04-25,Laptop,Books,7,4005,West
2024-04-26,Tablet,Fashion,4,8234,West
