date,product,category,quantity,sales,region
2024-01-01,T-Shirt,Clothing,19,676.35,South
2024-01-01,T-Shirt,Clothing,45,1698.08,West
2024-01-01,Charger,Mobile,19,681.18,North
2024-01-01,Pants,Clothing,41,4012.51,Northeast
2024-01-01,Blender,Appliances,47,2456.41,Northwest
2024-01-01,Cooler,Electronics,14,761.47,Central
2024-01-01,Jacket,Clothing,30,3426.9,Central
2024-01-02,Coffee Maker,Appliances,50,5688.6,South
2024-01-02,Bookshelf,Furniture,1,105.02,Northwest
2024-01-02,Cabinet,Furniture,13,3823.4,Northeast
2024-01-02,Pants,Clothing,46,4427.48,Southeast
2024-01-02,Bed,Furniture,34,13795.68,South
2024-01-03,Blanket,Furniture,29,1582.91,East
2024-01-03,Laptop,Electronics,8,11933.67,Northeast
2024-01-03,External SSD,Electronics,24,1417.62,Southeast
2024-01-03,Mouse,Electronics,43,1559.98,Northwest
2024-01-03,Desk Lamp,Electronics,13,294.95,Central
2024-01-03,Oven,Appliances,1,446.75,South
2024-01-04,Hat,Clothing,9,256.85,Northeast
2024-01-04,Gaming Chair,Electronics,20,8924.44,North
2024-01-04,RAM,Electronics,3,565.16,West
2024-01-04,Microwave,Appliances,8,1463.11,Northwest
2024-01-04,HDMI Cable,Electronics,38,381.29,Central
2024-01-04,Screen Protector,Mobile,43,778.18,West
2024-01-04,Headphones,Electronics,11,1667.64,West
2024-01-04,Power Bank,Mobile,6,383.8,South
2024-01-04,Motherboard,Electronics,31,6484.98,North
2024-01-04,Blanket,Furniture,14,951.68,South
2024-01-05,Webcam,Electronics,20,1174.69,Northeast
2024-01-05,Refrigerator,Appliances,38,51997.34,North
2024-01-05,Shoes,Clothing,23,1704.59,South
2024-01-05,Blanket,Furniture,50,3670.69,Northeast
2024-01-05,USB Cable,Electronics,43,496.69,Southeast
2024-01-06,Pants,Clothing,48,3469.46,West
2024-01-06,Phone Case,Mobile,23,896.45,Northwest
2024-01-06,Dishwasher,Appliances,31,35005.58,North
2024-01-06,Microphone,Electronics,43,4855.21,West
2024-01-06,Mattress,Furniture,38,17257.78,West
2024-01-06,Motherboard,Electronics,9,2448.41,North
2024-01-06,Socks,Clothing,1,16.19,Central
2024-01-06,Dishwasher,Appliances,34,31135.08,West
2024-01-07,Blanket,Furniture,40,1819.83,Northeast
2024-01-07,Jeans,Clothing,48,5249.51,South
2024-01-07,Toaster,Appliances,33,965.07,Southeast
2024-01-07,Blender,Appliances,34,4141.19,Northwest
2024-01-07,Hat,Clothing,30,1293.84,Northeast
2024-01-07,Gaming Chair,Electronics,27,11898.1,Northeast
2024-01-07,Microphone,Electronics,23,5692.41,North
2024-01-07,Charger,Mobile,32,915.42,West
2024-01-07,Jacket,Clothing,4,641.72,East
2024-01-08,Mouse,Electronics,8,328.69,Southeast
2024-01-08,Keyboard,Electronics,26,2408.31,Southeast
2024-01-08,Cabinet,Furniture,15,3046.47,Central
2024-01-09,Table,Furniture,26,14148.16,Northeast
2024-01-09,Case,Electronics,21,1288.04,North
2024-01-09,Phone Case,Mobile,18,278.28,North
2024-01-09,Case,Electronics,49,3056.36,Northwest
2024-01-09,Blanket,Furniture,42,2127.61,West
2024-01-09,Gaming Chair,Electronics,2,976.88,Northeast
2024-01-09,Underwear,Clothing,18,522.07,North
2024-01-09,Mattress,Furniture,47,18423.45,Northeast
2024-01-09,Smart Watch,Mobile,22,10386.96,Central
2024-01-09,Dishwasher,Appliances,5,4056.62,Northeast
2024-01-09,Sweater,Clothing,23,2109.84,Central
2024-01-09,Pants,Clothing,49,4757.83,South
2024-01-10,Hat,Clothing,42,630.42,West
2024-01-10,Cabinet,Furniture,6,2562.74,North
2024-01-10,Mattress,Furniture,22,17788.87,West
2024-01-10,Blender,Appliances,6,499.52,West
2024-01-10,Microphone,Electronics,31,5574.83,Northeast
2024-01-10,Charger,Mobile,6,253.83,Northwest
2024-01-10,Refrigerator,Appliances,15,11990.39,Southeast
2024-01-11,Shoes,Clothing,44,3297.93,West
2024-01-11,Shirt,Clothing,21,842.02,East
2024-01-11,T-Shirt,Clothing,30,1140.87,North
2024-01-11,Socks,Clothing,14,239.49,South
2024-01-11,Motherboard,Electronics,29,7459.4,Southeast
2024-01-11,Coffee Maker,Appliances,35,2897.35,Southeast
2024-01-11,USB Cable,Electronics,39,224.75,Northeast
2024-01-11,Shirt,Clothing,29,882.07,East
2024-01-11,Sofa,Furniture,28,28871.41,North
2024-01-12,Graphics Card,Electronics,39,9081.9,Northwest
2024-01-12,RAM,Electronics,30,2685.3,Southeast
2024-01-12,Blender,Appliances,22,2152.9,East
2024-01-12,Screen Protector,Mobile,1,12.8,Northwest
2024-01-12,Phone,Mobile,50,46211.4,South
2024-01-12,Phone Case,Mobile,23,1083.8,South
2024-01-12,Bed,Furniture,49,32598.59,Northwest
